GeneID,Chromosome,Peak_Start,Peak_End,Strand
Igf2bp3,chr6,49162050,49178910,+
Sp9,chr2,73112477,73113951,+
Mir148a,chr6,51118485,51134562,+
Gm10837,chr14,122884036,122891285,+
Hmx2,chr7,138699238,138700279,+
Fgfr2,chr7,138699238,138700279,+
Tlx2,chr6,83017742,83021941,+
Dmrt3,chr19,25682109,25687665,+
Gm20467,chr19,43682321,43683335,+
Otx1,chr11,21893107,21904080,+
Osr2,chr15,35222831,35233726,+
Shisa3,chr5,67996661,68000105,+
Igf2bp1,chr11,95865081,95873405,+
Lef1,chr3,130808763,130816782,+
Satb2,chr1,57029598,57038421,+
9130024F11Rik,chr1,57029598,57038421,+
Shox2,chr3,66778728,66789738,+
Rsrc1,chr3,66778728,66789738,+
Dleu2,chr14,62306424,62307747,+
Gm4895,chr10,21870520,21877624,+
H60b,chr10,21870520,21877624,+
E030030I06Rik,chr10,21870520,21877624,+
RP23-5H10.4,chr9,55386675,55396089,+
Isl2,chr9,55386675,55396089,+
Gm17226,chr9,55386675,55396089,+
Sall3,chr18,81178055,81183503,+
Zic2,chr14,122871283,122883735,+
2610035F20Rik,chr14,122871283,122883735,+
Hoxa7,chr6,52170620,52171803,+
Lbx1,chr19,45305766,45309662,+
Gm11772,chr11,120092718,120098247,+
Bahcc1,chr11,120092718,120098247,+
2900052L18Rik,chr11,120092718,120098247,+
Aldh1a2,chr9,71064281,71065298,+
Foxc1,chr13,31893480,31903487,+
Sim1,chr10,50612353,50624804,+
Nkx2-3,chr19,43685578,43692117,+
Gm20467,chr19,43685578,43692117,+
Hoxa13,chr6,52201349,52214888,+
Gm15053,chr6,52201349,52214888,+
Nkx2-4,chr2,146907303,146917241,+
Tbr1,chr2,61641569,61653257,+
Sim2,chr16,94092627,94098016,+
Hoxd13,chr2,74502709,74511098,+
Hoxd12,chr2,74502709,74511098,+
Gm13334,chr2,18609160,18624008,+
BC061194,chr2,18609160,18624008,+
Rasgrf1,chr9,89777295,89777800,+
Rnf220,chr4,117163565,117168245,+
Gm12827,chr4,117163565,117168245,+
Hoxa11as,chr6,52193384,52200303,+
Hoxa11,chr6,52193384,52200303,+
Hoxa10,chr6,52193384,52200303,+
Gata3,chr2,9804485,9805498,+
9230102O04Rik,chr2,9804485,9805498,+
4930412O13Rik,chr2,9804485,9805498,+
Hnf1b,chr11,83664112,83670020,+
Gm12576,chr11,83664112,83670020,+
Mir196b,chr6,52175296,52180486,+
Hoxa9,chr6,52175296,52180486,+
9930038K12Rik,chr6,52175296,52180486,+
Prdm1,chr10,44246172,44249721,+
Pou4f1,chr14,104855306,104869237,+
Plag1,chr4,3856637,3865558,+
Chchd7,chr4,3856637,3865558,+
U1,chr3,96135421,96140563,+
Nfil3,chr13,53074563,53075384,+
Hivep1,chr13,42147402,42148566,+
Tal1,chr4,114727915,114731948,+
Pik3r3,chr4,115894309,115896661,+
Dmrt1,chr19,25678505,25678957,+
Evx2,chr2,74493521,74499437,+
Hivep1,chr13,42146588,42146984,+
Cd2ap,chr17,43013400,43013825,+
Eya1,chr1,14296334,14301350,+
Nkx3-2,chr5,42155752,42158038,+
Erg,chr16,95679503,95680692,+
Gm13256,chr2,9798151,9803593,+
Gata3,chr2,9798151,9803593,+
4930412O13Rik,chr2,9798151,9803593,+
Nfkbia,chr12,56590783,56594828,+
Sim2,chr16,94083282,94087201,+
C130071C03Rik,chr13,83854542,83855939,+
9130410C08Rik,chr4,114572999,114578341,+
Ebf3,chr7,144499686,144509563,+
Tnrc18,chr5,143575999,143583749,+
Malat1,chr19,5801350,5805167,+
Gm17547,chr13,83863776,83872434,+
C130071C03Rik,chr13,83863776,83872434,+
Zfp521,chr18,14128648,14131102,+
Prdm8,chr5,98608693,98616878,+
A730035I17Rik,chr5,98608693,98616878,+
Gm11809,chr4,8573944,8578085,+
Birc3,chr9,7870478,7874192,+
Dlx2,chr2,71377182,71386213,+
Dlx1as,chr2,71377182,71386213,+
Neurog2,chr3,127327923,127330792,+
Map4k3,chr17,81171762,81172054,+
Foxd1,chr13,99122315,99127562,+
Arx,chrX,90534151,90536622,+
Skil,chr3,30991708,30994007,+
Cdkn2b,chr4,88951936,88956928,+
Wdr8,chr4,153513797,153516530,+
Trp73,chr4,153513797,153516530,+
Hmx3,chr7,138686438,138689356,+
Fgfr2,chr7,138686438,138689356,+
Btg2,chr1,135963695,135964071,+
Irf2,chr8,47824464,47827440,+
Gm16675,chr8,47824464,47827440,+
Gm17110,chr14,35313143,35317044,+
Bmpr1a,chr14,35313143,35317044,+
Spib,chr7,51780527,51791181,+
Pold1,chr7,51780527,51791181,+
Mybpc2,chr7,51780527,51791181,+
Gm13353,chr2,18507607,18510344,+
Cdc42bpa,chr1,181890432,181891208,+
E2f2,chr4,135733800,135734047,+
Mir3100,chr7,19669842,19669972,+
Dmpk,chr7,19669842,19669972,+
Pom121l2,chr13,22084380,22089486,+
Bmpr2,chr1,59820620,59822918,+
RP23-342N19.2,chr9,74696190,74698416,+
Gm16551,chr9,74696190,74698416,+
Gjc1,chr11,102679140,102680170,+
Lhx9,chr1,140724834,140729340,+
B4galt1,chr4,40822602,40823189,+
AC121600.1,chr17,52302122,52302196,+
Zfp36l1,chr12,81215587,81217245,+
Gm20388,chr8,123637255,123644150,+
Foxc2,chr8,123637255,123644150,+
Gm17580,chr3,96143879,96145947,+
Foxi3,chr6,70903640,70907340,+
Rab30,chr7,99889202,99892888,+
4632427E13Rik,chr7,99889202,99892888,+
Cpeb3,chr19,37248802,37250439,+
A330032B11Rik,chr19,37248802,37250439,+
